,city,colleges,colleges_count,state_code,city_state
154,Sarasota,"['New College of Florida', 'Ringling College of Art and Design', 'State College of Florida, Manatee-Sarasota', 'University of South Florida Sarasota-Manatee']",4,FL,"Sarasota, FL"
155,Saint Augustine,['Flagler College'],1,FL,"Saint Augustine, FL"
156,Saint Leo,['St. Leo University'],1,FL,"Saint Leo, FL"
157,Saint Petersburg,"['Eckerd College', 'St. Petersburg College']",2,FL,"Saint Petersburg, FL"
158,Sunrise,[],0,FL,"Sunrise, FL"
159,Tallahassee,"['Florida State University', 'Florida A&M University']",2,FL,"Tallahassee, FL"
160,West Palm Beach,"['Palm Beach Atlantic University', 'Keiser University']",2,FL,"West Palm Beach, FL"
161,Albany,['Albany State University'],1,GA,"Albany, GA"
162,Alpharetta,"['Georgia State University', 'Gwinnett Technical College', 'Reinhardt University']",3,GA,"Alpharetta, GA"
163,Athens,"['University of Georgia', 'Athens Technical College']",2,GA,"Athens, GA"
164,Augusta,"['Augusta Technical College', 'Augusta University', 'Paine College', 'East Georgia State College']",4,GA,"Augusta, GA"
165,Blue Ridge,['University of North Georgia'],1,GA,"Blue Ridge, GA"
166,Brunswick,['College of Coastal Georgia'],1,GA,"Brunswick, GA"
167,Carrollton,['University of West Georgia'],1,GA,"Carrollton, GA"
168,Columbus,"['Columbus State University', 'Columbus Technical College']",2,GA,"Columbus, GA"
169,Cumming,['University of North Georgia'],1,GA,"Cumming, GA"
170,Dahlonega,['University of North Georgia'],1,GA,"Dahlonega, GA"
171,Demorest,['Piedmont College'],1,GA,"Demorest, GA"
172,Fort Valley,['Fort Valley State University'],1,GA,"Fort Valley, GA"
173,Gainesville,"['University of North Georgia Gainesville Campus', 'Brenau University']",2,GA,"Gainesville, GA"
174,Glennville,['Southeastern Technical College'],1,GA,"Glennville, GA"
175,Kennesaw,['Kennesaw State University'],1,GA,"Kennesaw, GA"
176,Lawrenceville,"['Georgia Gwinnett College', 'Gwinnett Technical College']",2,GA,"Lawrenceville, GA"
177,Madison,['Georgia Military College Madison Campus'],1,GA,"Madison, GA"
178,Macon,"['Mercer University', 'Middle Georgia State University', 'Wesleyan College', 'Central Georgia Technical College', 'Fort Valley State University', 'Georgia College & State University']",6,GA,"Macon, GA"
179,Milledgeville,"['Georgia College & State University', 'Georgia Military College']",2,GA,"Milledgeville, GA"
180,Monroe,[],0,GA,"Monroe, GA"
181,Mount Vernon,['Brewton-Parker College'],1,GA,"Mount Vernon, GA"
182,Oxford,['Oxford College'],1,GA,"Oxford, GA"
183,Rome,"['Berry College', 'Shorter University']",2,GA,"Rome, GA"
184,Savannah,"['Armstrong Atlantic State University', 'Savannah State University', 'Savannah College of Art and Design', 'Savannah Law School']",4,GA,"Savannah, GA"
185,Statesboro,"['Georgia Southern University', 'East Georgia State College']",2,GA,"Statesboro, GA"
186,Swainsboro,"['East Georgia State College', 'Southeastern Technical College']",2,GA,"Swainsboro, GA"
187,Valdosta,['Valdosta State University'],1,GA,"Valdosta, GA"
188,Vidalia,['Southeastern Technical College'],1,GA,"Vidalia, GA"
189,Waleska,['Reinhardt College'],1,GA,"Waleska, GA"
190,Watkinsville,['University of North Georgia'],1,GA,"Watkinsville, GA"
191,Young Harris,['Young Harris College'],1,GA,"Young Harris, GA"
192,Laie,"[""Brigham Young University-Hawai'i""]",1,HI,"Laie, HI"
193,Boise,"['Boise State University', 'University of Idaho', 'Idaho State University', 'Concordia University School of Law']",4,ID,"Boise, ID"
194,Caldwell,['College of Idaho'],1,ID,"Caldwell, ID"
195,Lewiston,['Lewis-Clark State College'],1,ID,"Lewiston, ID"
196,Moscow,['University of Idaho'],1,ID,"Moscow, ID"
